Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
746	000786-19-6	CCOP(=S)(OCC)SCSc1ccc(Cl)cc1	Training	3.155	3.120295
747	000115-90-2	CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O	Training	0.854	0.92278
748	026087-47-8	CC(C)OP(=O)(OC(C)C)SCc1ccccc1	Test	1.928	0.92278
749	085785-20-2	c1ccccc1CSC(=O)N(CC)C(C)C(C)C	Test	2.31	1.841827
750	028249-77-6	CCN(CC)C(=O)SCc1ccc(Cl)cc1	Test	2.297	1.841827
751	001080-32-6	O=P(OCC)(OCC)Cc(cccc1)c1	Test	-0.169	0.92278
752	000110-86-1	n(cccc1)c1	Training	-0.114	-0.314757
753	000109-06-8	n(c(ccc1)C)c1	Training	-0.982	-0.523596
754	000108-89-4	n(ccc(c1)C)c1	Test	-0.638	-0.523596
755	000108-99-6	n(cccc1C)c1	Training	-0.19	-0.523596
756	000100-71-0	n(c(ccc1)CC)c1	Test	-0.589	0.190906
757	000104-90-5	n(c(ccc1CC)C)c1	Training	0.172	0.235644
758	018368-63-3	Clc(nc(c1)C)cc1	Training	-0.26	-0.211324
759	002176-62-7	n(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	2.728	2.898537
760	010500-57-9	n(ccc1)c(CCC2)c1C2	Test	0.556	1.391248
761	000100-55-0	n(cccc1CO)c1	Test	-0.931	0.728405
762	002859-67-8	n(cccc1CCCO)c1	Training	-0.039	-0.281237
763	000500-22-1	O=Cc(cccn1)c1	Training	0.818	0.289188
764	001122-54-9	O=C(c(ccnc1)c1)C	Training	-0.141	0.289188
765	000499-83-2	O=C(O)c(nc(cc1)C(=O)O)c1	Training	-0.285	0.242081
766	004214-79-3	Oc1ccc(Cl)cn1	Training	-0.944	-0.556447
767	006636-78-8	Oc1cccnc1Cl	Training	-0.681	-0.556447
768	016879-02-0	Oc1cccc(Cl)n1	Training	-0.219	-0.556447
769	006602-32-0	Oc1cccnc1Br	Test	-0.431	0.289188
770	015128-82-2	Oc1cccnc1[N+](=O)[O-]	Training	-0.078	0.276421
771	000769-28-8	n(c(cc1C)C)c(O)c1C#N	Test	-0.028	0.688329
772	000100-43-6	n(ccc(c1)C=C)c1	Training	2.022	1.796437
773	000100-69-6	n(c(ccc1)C=C)c1	Test	1.209	1.796437
774	000504-29-0	n(c(N)ccc1)c1	Test	0.932	0.93647
775	000462-08-8	n(cccc1N)c1	Training	1.039	0.93647
776	000504-24-5	n(ccc(N)c1)c1	Test	1.442	0.93647
777	001072-97-5	Nc1ccc(Br)cn1	Test	-0.01	0.622793
778	005683-33-0	n1ccccc1N(C)C	Training	-0.019	0.007808
779	000100-70-9	C(#N)c(nccc1)c1	Training	-0.842	-0.684116
780	002921-88-2	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	Test	2.841	3.120295
781	005600-21-5	Cc1cc(Cl)nc(N)n1	Training	0.0	-0.026512
782	013481-25-9	c1nc(C#N)c(C#N)nc1	Training	1.813	1.352196
783	000333-41-5	O(P(OCC)(Oc(nc(nc1C)C(C)C)c1)=S)CC	Training	1.513	2.248071
784	017584-12-2	Cc1nnc(N)nc1C	Test	-0.885	0.786938
785	000110-00-9	O1C=CC=C1	Test	0.042	-0.314757
786	000625-86-5	O1C(C)=CC=C1C	Test	0.13	-0.407171
787	004412-91-3	OCc1ccoc1	Test	-0.72	-0.407171
788	000623-15-4	O=C(C=CC(OC=C1)=C1)C	Test	0.812	0.467853
789	000110-02-1	S1C=CC=C1	Test	0.434	-0.314757
790	000872-31-1	C1=CC(Br)=CS1	Training	1.42	1.525122
791	000109-97-7	C1=CC=CN1	Training	-0.498	-0.314757
792	000932-16-1	O=C(C(N(C=C1)C)=C1)C	Training	-0.108	-0.020463
793	000693-93-6	Cc1cocn1	Test	-1.222	-0.458497
794	020662-84-4	O(C(=N1)C)C(=C1C)C	Training	-0.61	-0.407171
795	000693-98-1	N(C=CN1)=C1C	Training	-0.541	-0.458497
796	002034-22-2	BrC1=NC(Br)=C(Br)N1	Training	1.64	1.415531
797	000674-82-8	O=C(OC1=C)C1	Training	0.98	-0.497553
